Test Result
Corel1000
"Index","nTrain","nTest","Accuracy"
1,786,214,0.570093457943925
2,785,215,0.474418604651163
3,787,213,0.525821596244131
4,794,206,0.529126213592233
5,810,190,0.547368421052632
MIT8
"Index","nTrain","nTest","Accuracy"
1,2134,554,0.366425992779783
2,2165,523,0.38623326959847
3,2160,528,0.384469696969697
4,2126,562,0.348754448398576
5,2152,536,0.341417910447761
Caltech101
"Index","nTrain","nTest","Accuracy"
1,7367,1778,0.170978627671541
2,7287,1858,0.172766415500538
3,7415,1730,0.165895953757225
4,7268,1877,0.17900905700586
5,7345,1800,0.166111111111111
