Test Result
Corel1000
"Index","nTrain","nTest","Accuracy"
1,817,183,0.234972677595628
2,790,210,0.152380952380952
3,813,187,0.203208556149733
4,764,236,0.216101694915254
5,809,191,0.235602094240838
MIT8
"Index","nTrain","nTest","Accuracy"
1,2159,529,0.207939508506616
2,2162,526,0.224334600760456
3,2157,531,0.225988700564972
4,2152,536,0.222014925373134
5,2173,515,0.223300970873786
Caltech101
"Index","nTrain","nTest","Accuracy"
1,7266,1879,0.0638637573177222
2,7236,1909,0.0607647983237297
3,7329,1816,0.0561674008810573
4,7283,1862,0.0633727175080559
5,7320,1825,0.0575342465753425
